,full_text,hashtags,retweets,geo,tags
23,"A choir of refugee children from Afghanistan &amp; kids from Pakistan performed for @antonioguterres during the #RefugeeSummit in Islamabad, where he called for more youth empowerment and solidarity #WithRefugees. https://t.co/7uxIsVOLPc https://t.co/aFgRhdZpPG","{'WithRefugees', 'RefugeeSummit'}",133,,"[('Afghanistan', 'LOCATION'), ('Pakistan', 'LOCATION'), ('Islamabad', 'LOCATION')]"
24,"A choir of refugee children from Afghanistan &amp; kids from Pakistan performed for @antonioguterres during the #RefugeeSummit in Islamabad, where he called for more youth empowerment and solidarity #WithRefugees. 

🇺🇳 https://t.co/fYFzTuW012 @UN
#Youth2030 #SDGs #GlobalGoals https://t.co/h3bushUS9H","{'SDGs', 'GlobalGoals', 'Youth2030', 'RefugeeSummit', 'WithRefugees'}",6,,"[('Afghanistan', 'LOCATION'), ('Pakistan', 'LOCATION'), ('Islamabad', 'LOCATION'), ('UN', 'ORGANIZATION')]"
25,"A choir made up of refugee children from Afghanistan and children from Pakistan performed for Secretary-General @antonioguterres in Islamabad, Pakistan, on the side of the #RefugeeSummit on 40 Years of Hosting Afghan Refugees in Pakistan. @Refugees https://t.co/94wZaXKBk5",{'RefugeeSummit'},11,,"[('Afghanistan', 'LOCATION'), ('Pakistan', 'LOCATION'), ('Islamabad', 'LOCATION'), ('Pakistan', 'LOCATION'), ('Pakistan', 'LOCATION')]"
26,"Former #USA drone operator recalls dropping a missile on #Afghanistan #Children and says military is ‘worse than the Nazis’

War...

Children are innocent victim but the target of US army &amp;  #Bush #Obama #Trump administration ...

https://t.co/gSnFOatpxF","{'Bush', 'Trump', 'Afghanistan', 'USA', 'Obama', 'Children'}",0,,"[('USA', 'LOCATION'), ('Afghanistan', 'LOCATION'), ('Nazis', 'ORGANIZATION'), ('US', 'LOCATION'), ('Bush', 'PERSON'), ('Obama', 'PERSON'), ('Trump', 'PERSON')]"
27,"”Afghanistan är nu scen för den dödligaste konflikten på jorden” 

Afghanistan is now the scene of the deadliest conflict on earth. Fighting continues to rage, exposing civilians, particularly women and children, to daily deadly risks, prompting mass displacement and choking the",set(),4,,"[('Afghanistan', 'LOCATION'), ('Afghanistan', 'LOCATION')]"
28,"Violence in countries including Afghanistan, Central African Republic,South Sudan and Syria reported to result in 2018 displacement of nearly 31 million children;13 million refugees and more than 17 million internally displaced. (UNICEF 11/29/2019) #Zusia https://t.co/uKO8KEM1qV",{'Zusia'},1,,"[('Afghanistan', 'LOCATION'), ('Central', 'LOCATION'), ('African', 'LOCATION'), ('Republic', 'LOCATION'), ('South', 'LOCATION'), ('Sudan', 'LOCATION'), ('Syria', 'LOCATION'), ('UNICEF', 'ORGANIZATION')]"
29,"Just spoke to my friend MBS (Crown Prince) of Saudi Arabia, who spoke with President Putin of Russia, &amp; I expect &amp; hope that they will be cutting back approximately 10 Million Barrels, and maybe substantially more which, if it happens, will be GREAT for the oil &amp; gas industry!",set(),36422,,"[('Saudi', 'LOCATION'), ('Arabia', 'LOCATION'), ('Putin', 'PERSON'), ('Russia', 'LOCATION')]"
30,@realDonaldTrump You’re friends with a murderer?,set(),938,,[]
31,@FrankFigliuzzi1 @realDonaldTrump See who’s talk 😂 are y the 🇺🇸 who destroys Iraq Afghanistan Vietnam killed &amp; displacement more then 2 millions ppl in Iraq?? More then a half is children? Who want to be look good ha!,set(),0,,"[('Iraq', 'LOCATION'), ('Afghanistan', 'LOCATION'), ('Vietnam', 'LOCATION'), ('Iraq', 'LOCATION')]"
32,@realDonaldTrump For America people who destroys Iraq Afghanistan Vietnam killed &amp; displacement more then 2 millions ppl in Iraq?? More then a half is children? Who want to be look good ha! #American,{'American'},0,,"[('America', 'LOCATION'), ('Iraq', 'LOCATION'), ('Afghanistan', 'LOCATION'), ('Vietnam', 'LOCATION'), ('Iraq', 'LOCATION')]"
33,1/4 of the world's refugees come from #Afghanistan.Refugee children have been deprived of a home. But those back home tend to be worse off,{'Afghanistan'},0,,[]
34,"UNAMA report: More than 500 civilians killed, including +150 children, due to #Afghanistan conflict in Q1/2020, with a disturbing increase in violence in March. Urgent need for ceasefire. https://t.co/qa8B8NtGhJ",{'Afghanistan'},0,,"[('UNAMA', 'ORGANIZATION'), ('Afghanistan', 'LOCATION')]"
35,"New UNAMA report: More than 500 civilians killed, including +150 children, due to #Afghanistan conflict in Q1/2020, with a disturbing increase in violence in March. Urgent need for ceasefire. https://t.co/1q2mN15LBg",{'Afghanistan'},2,,"[('Afghanistan', 'LOCATION')]"
36,"New UNAMA report: More than 500 civilians killed, including +150 children, due to #Afghanistan conflict in Q1/2020, with a disturbing increase in violence in March. Urgent need for ceasefire. Read more: https://t.co/9esFqbxPCb #HumanRights #ZeroCivilianCasualtiesNow https://t.co/mC0IK4xm48","{'Afghanistan', 'HumanRights', 'ZeroCivilianCasualtiesNow'}",66,,"[('Afghanistan', 'LOCATION')]"
37,"United Nations: 533 civilians killed in #Afghanistan conflict in Q1 2020. Anti-Government Elements (Taliban, ISKP &amp; other) responsible for 282 deaths (53%). Pro-Government Forces responsible for 198 deaths (37%). Read more: https://t.co/9esFqbxPCb. #ZeroCivilianCasualtiesNow https://t.co/SDl8Vw7fou","{'Afghanistan', 'ZeroCivilianCasualtiesNow'}",50,,"[('United', 'ORGANIZATION'), ('Nations', 'ORGANIZATION'), ('Afghanistan', 'LOCATION'), ('Taliban', 'ORGANIZATION')]"
38,"New #UNAMA report: More than 500 civilians killed, including +150 children, due to #Afghanistan conflict in Q1/2020, with a disturbing increase in violence in March. Urgent need for ceasefire.  #ZeroCivilianCasualtiesNow https://t.co/LoO8Rav4cS","{'Afghanistan', 'ZeroCivilianCasualtiesNow', 'UNAMA'}",1,,"[('Afghanistan', 'LOCATION')]"
39,"New UNAMA report: More than 500 civilians killed, including +150 children, due to #Afghanistan conflict in Q1/2020, with a disturbing increase in violence in March. Urgent need for #ceasefire. https://t.co/nqZNpqIs8V","{'Afghanistan', 'ceasefire'}",0,,"[('Afghanistan', 'LOCATION')]"
40,"More than 500 civilians killed in Afghanistan conflict in 2020: Report
More than 500 civilians, including more than 150 children, were killed due to the fighting in Afghanistan during the first quarter of 2020, according to a United Nations report.
https://t.co/LLaIRcvdIB",set(),0,,"[('Afghanistan', 'LOCATION'), ('Afghanistan', 'LOCATION'), ('United', 'ORGANIZATION'), ('Nations', 'ORGANIZATION')]"
41,"New UNAMA report: More than 500 civilians killed, including +150 children, due to #Afghanistan conflict in Q1/2020, with a disturbing increase in violence in March. Urgent need for ceasefire. Read more: https://t.co/lfojBeIpPB #HumanRights #ZeroCivilianCasualtiesNow","{'Afghanistan', 'HumanRights', 'ZeroCivilianCasualtiesNow'}",0,,"[('Afghanistan', 'LOCATION')]"
42,"Afghanistan conflict still the world’s deadliest for children, UN says @starsandstripes #Afghanistan
https://t.co/qguj4k4PDC",{'Afghanistan'},1,,"[('Afghanistan', 'LOCATION'), ('UN', 'ORGANIZATION'), ('Afghanistan', 'LOCATION')]"
43,"Afghanistan conflict still the world's deadliest for children, UN says: Afghan children were also among the over 2,500 said to be detained for alleged or actual association with armed groups like the Islamic State. https://t.co/KppMW03lCU #islamicstate #islamicterrorism","{'islamicterrorism', 'islamicstate'}",2,,"[('Afghanistan', 'LOCATION'), ('UN', 'ORGANIZATION'), ('Islamic', 'ORGANIZATION'), ('State', 'ORGANIZATION')]"
44,Afghanistan conflict deadliest for children in 2019: UN https://t.co/MBacP2Ey3X #AFG,{'AFG'},2,,"[('Afghanistan', 'LOCATION'), ('UN', 'ORGANIZATION')]"
45,"Afghanistan conflict still the world’s deadliest for children, UN says https://t.co/Ln8I2LSVky
#Childrenofwar 
#AfghanChildren","{'AfghanChildren', 'Childrenofwar'}",1,,"[('Afghanistan', 'LOCATION'), ('UN', 'ORGANIZATION')]"
46,"@birdiebidnest @MirMAKOfficial How you can prove this that he worked for western. All western and Americans, Jews propaganda, u believe that. He has no greed for money, why he will work for them? He belong to one of richest family of Saudi Arabia. Why he chose to live in mountains? He paid millions $ to PLMN.",set(),0,,"[('Saudi', 'LOCATION'), ('Arabia', 'LOCATION')]"
47,"@MuhamedAhsan @MirMAKOfficial He worked forWestern thats why he was living in the Mountains.He had left his homeland ,he was an Agent.Its done for Monarchy purpose not for money.American Troops and forces ENTERED Afghanistan in his name! killed thousands of children,caused Displacement of poor Afghan families",set(),0,,"[('Afghanistan', 'LOCATION')]"
48,"Time to act now: Afghanistan’s displacement crisis is one of the largest and most protracted in UNHCR’s seven-decade history. We’re now seeing a third generation of Afghan children born in exile - @FilippoGrandi 
https://t.co/HteKVwjAqN",set(),6,,"[('Afghanistan', 'LOCATION'), ('UNHCR', 'ORGANIZATION')]"
49,Afghanistan’s displacement crisis is one of the largest and most protracted in @Refugees seven-decade history. We’re now seeing a third generation of Afghan children born in exile https://t.co/S7V7tC0HOl @refugees,set(),16,,"[('Afghanistan', 'LOCATION')]"
50,"They are responsible for the destruction,genocide,displacement of millions of women, children and men in:
• Congo
• Iran
• Iraq
• Panama
• Haiti
• Yugoslavia
• Afghanistan
• Venezuela
• Somalia
• Gaza
• Libya
• Syria
• Yemen
• Boko haram Nigeria 
• Ivory Coast https://t.co/UztwcxDDEm",set(),57,,"[('Congo', 'LOCATION'), ('Iran', 'LOCATION'), ('Iraq', 'LOCATION'), ('Panama', 'LOCATION'), ('Haiti', 'LOCATION'), ('Yugoslavia', 'LOCATION'), ('Afghanistan', 'LOCATION'), ('Venezuela', 'LOCATION'), ('Somalia', 'LOCATION'), ('Gaza', 'LOCATION'), ('•', 'LOCATION'), ('Libya', 'LOCATION'), ('Syria', 'LOCATION'), ('Yemen', 'LOCATION'), ('Nigeria', 'LOCATION'), ('Ivory', 'LOCATION'), ('Coast', 'LOCATION')]"
51,"Conflict in #Afghanistan has already resulted in numerous civilian deaths, as well as casualties, with women and children on the front line, and displacement. Afghanistan🇦🇫 continues to be shaken by large-scale bloody #terrorist attacks, incl. in #Kabul. #FormulaArria #UNSC https://t.co/fHdl7vn8vP","{'Afghanistan', 'Kabul', 'UNSC', 'FormulaArria', 'terrorist'}",6,,"[('Afghanistan', 'LOCATION'), ('Kabul', 'LOCATION'), ('UNSC', 'ORGANIZATION')]"
52,"Women &amp; children made up more than 40% of all civilian casualties in the Afghanistan conflict during first half of 2020.

New @UNAMAnews report calls on all parties to start peace talks, prioritize civilian protection, &amp; address needs &amp; rights of victims. https://t.co/pobD3bSE5g https://t.co/cf4VSRUE82",set(),99,,"[('Afghanistan', 'LOCATION')]"
53,"Agony of civilians in #Afghanistan never ends: death, injury, trauma, abduction, displacement, disease &amp; now Covid. Intra-Afghan negotiations are overdue, incl parties’ plans to invest in needs of women &amp; children; victims’ experience should be centrestaged @UNAMAnews @eu_eeas",{'Afghanistan'},4,,"[('Afghanistan', 'LOCATION')]"
54,"Here's the newly released @UNAMAnews mid-year report on the impact of the #Afghanistan conflict on civilians &amp; children.

Full report here: https://t.co/4VDs7qeYiu https://t.co/oE7mUtXyQO",{'Afghanistan'},2,,"[('Afghanistan', 'LOCATION')]"
55,"#KaradahProject and I are grateful for the generosity of those supporting displaced children in Afghanistan. Our kindergarten is giving hope to children displaced by war, poverty, and displacement.

Click. Contribute. Change the World.
https://t.co/ZgCnBwGbI8 https://t.co/MNflGtieaB",{'KaradahProject'},0,,"[('Afghanistan', 'LOCATION')]"
56,"Hi new followers! Welcome to my page.

I'm an Iraq War Veteran and ER doctor on the frontlines of the coronavirus pandemic. I tweet about:
🔹deadly misinformation
🔹ways to mitigate spread
🔹lives lost to COVID
🔹school openings
🔹1918 influenza pandemic
https://t.co/fou6caoAhT",set(),802,,"[('Iraq', 'LOCATION')]"
57,"In a displacement camp in Afghanistan, education brings confidence and hope to children. 

Click. Contribute. Change the World.
https://t.co/CW8RHnMWIC https://t.co/VzarGPxONx",set(),0,,"[('Afghanistan', 'LOCATION')]"
58,"In a displacement camp in Afghanistan, education brings confidence and hope to children. 

Click. Contribute. Change the World.
https://t.co/ZgCnBwGbI8 https://t.co/HqYShlHcls",set(),0,,"[('Afghanistan', 'LOCATION')]"
59,"Joe Biden just announced that he will not agree to a Drug Test. Gee, I wonder why?",set(),84848,,"[('Joe', 'PERSON'), ('Biden', 'PERSON')]"
60,"Positive findings:

110% increase in women serving in national parliaments
38% decrease in maternal deaths 
18% increase in female literacy 

https://t.co/kgq2Y1Xt9j

#beijing25 #refugees #humanitarian","{'humanitarian', 'beijing25', 'refugees'}",0,,[]
61,"Persistent challenges:
Dramatic displacement increase: 26+ mil refugees in 2019; 13+ mil displaced women

43% girls in Nigeria subject to child marriage 

75% children in Congo &amp; 67% in Uganda w/o birth certificate

46% women in Afghanistan experience GBV

https://t.co/oOTTyUArkk",set(),0,,"[('Nigeria', 'LOCATION'), ('Congo', 'LOCATION'), ('Uganda', 'LOCATION'), ('Afghanistan', 'LOCATION')]"
62,"Dr. Scott Atlas: 
These lockdowns are a luxury of the rich. The President understands that people need to work, the working-class need their jobs, children need to go to school, it's harmful to do otherwise. || #IngrahamAngle #Covid19 https://t.co/1VTOUHS2OQ","{'IngrahamAngle', 'Covid19'}",3791,,"[('Scott', 'PERSON'), ('Atlas', 'PERSON')]"
63,"Any Labour supporter saying #StarmerOut just please look at that thing in 10 Downing St that is our PM.

Unite and win.",{'StarmerOut'},106,,[]
64,Wow! The Afghanistan War has aged older than the Solider I lost during my last deployment. He was 19. #EndTheForeverWars,{'EndTheForeverWars'},2,,[]
65,"19 years since start of US war in Afghanistan:
- soldiers are now serving who are younger than this war
- children of war vets now serve w/ parents
- #ANDSF have grown, but suffer staggering casualties
- huge portion of land US troops bled &amp; died for is under Taliban control",{'ANDSF'},3,,"[('US', 'LOCATION'), ('Afghanistan', 'LOCATION'), ('US', 'LOCATION'), ('Taliban', 'ORGANIZATION')]"
66,#WorldBank warns of increased #poverty in #Afghanistan due to #COVID19 shock https://t.co/EOQKK4zBdP,"{'WorldBank', 'poverty', 'Afghanistan', 'COVID19'}",0,,"[('WorldBank', 'ORGANIZATION'), ('Afghanistan', 'LOCATION')]"
67,Girls and women oppressed by the Taliban and denied education were deployed as propaganda to sell a war that the US has now lost. Millions of girls still have no school. Shame on every politician who promised to be the savior of Afghan girls. https://t.co/Wle4MykRZp,set(),103,,"[('Taliban', 'ORGANIZATION'), ('US', 'LOCATION')]"
68,"Helmand has turned into a Taliban slaughter house tonight. Hiding behind civilians didn’t help them once our Commando units were dispatched. 
#Helmand https://t.co/Vtf6GzNpFP",{'Helmand'},7,,"[('Helmand', 'LOCATION'), ('Taliban', 'ORGANIZATION')]"
69,"These people are being displaced from their homes because of the war. There are concerns about escalating clashes between the Afghan military and the Taliban.
Watch the chaotic situation of the families in this small video.
#Helmand 
#Lashkergah
#War
#Afghnistan
#SaveHelmand https://t.co/ukTsvdJyM8","{'Helmand', 'Lashkergah', 'Afghnistan', 'War', 'SaveHelmand'}",0,,"[('Taliban', 'ORGANIZATION')]"
70,Countries guilty of human rights atrocities (eg in Xinjiang) should never be permitted to sit on the UN Human Rights Council. ⁦@RightsGAC⁩ ⁦@CHRDnet⁩ ⁦@UyghurProject⁩ ⁦@HRF⁩ ⁦@HRWcanada⁩ ⁦@chrlcg⁩ ⁦@UNHumanRights⁩  https://t.co/1GMSSoTms0,set(),18,,"[('Xinjiang', 'LOCATION'), ('UN', 'ORGANIZATION'), ('Human', 'ORGANIZATION'), ('Rights', 'ORGANIZATION'), ('Council', 'ORGANIZATION')]"
71,Americans and Pakistanis make fun of Afghanistan to make themselves feel better but fail to recognize that they’re the ones responsible for the state Afghanistan is in.  besides.. your countries aren’t doing much better anyways lol,set(),14,,"[('Afghanistan', 'LOCATION'), ('Afghanistan', 'LOCATION')]"
72,Read our latest brief with @HelpAge on the impact of COVID-19 on Older Persons in #Afghanistan: https://t.co/Lbnfk0WSfA,{'Afghanistan'},1,,"[('Afghanistan', 'LOCATION')]"
73,"#AfghanMigrant thrown off building by human traffickers in eastern #Turkey
 https://t.co/WMJaVZ7E5P via @duvarenglish","{'Turkey', 'AfghanMigrant'}",0,,"[('Turkey', 'LOCATION')]"
74,"Coronavirus means number of Afghans facing food shortages has risen by huge 5 million this year, according to new @WFP estimates. Some 12 million in 'severe food insecurity' at the start of 2020 and now more like 17 million https://t.co/34rRgiNbow",set(),30,,"[('WFP', 'ORGANIZATION')]"
75,"@AnahitMnats @VeneraArakelyan @KarapetGrigory1 @MesutOzil1088 You can read about #Khojaly genocide on many international sources. Also almost 20 countries recognize that. Let me underline that all of that are proven by photo, video and audio files. Do you confess that your country did that?",{'Khojaly'},0,,[]
76,President @realDonaldTrump has signed an executive order to form the One Trillion Trees Interagency Council to further the United States' contribution to the global effort! 🌳  https://t.co/j45YnVidWz,set(),5302,,"[('Interagency', 'ORGANIZATION'), ('Council', 'ORGANIZATION'), ('United', 'LOCATION'), ('States', 'LOCATION')]"
77,"@Tasies @isawthesethings @johncusack @USNavy @Mike_Pence @JoeBiden Also, again, he's stepped up our unilateral involvement in conflicts in ME, SEA and Africa while simultaneously reducing the transparency we had into those activities. He more or less loaned troops to SA, ffs.",set(),0,,"[('Africa', 'LOCATION')]"
78,"@JaywalkingGuy @isawthesethings @johncusack @USNavy @Mike_Pence @JoeBiden ...put Venezuela on the exceptional threat list, Bush...well...Bush is responsible for the death of over a million civilians, destroyed Iraq, turned the mid-east into Jihadi central, decimated Afghanistan, backed a coup in Venezuela, also created a refugee crisis...",set(),0,,"[('Venezuela', 'LOCATION'), ('Bush', 'PERSON'), ('Bush', 'PERSON'), ('Iraq', 'LOCATION'), ('Afghanistan', 'LOCATION'), ('Venezuela', 'LOCATION')]"
79,#Jesuit Refugee Service/USA (@jrsusa) is deeply disappointed in the lowest ceiling in history of U.S. refugee resettlement. https://t.co/EdUyU4MGkE,{'Jesuit'},0,,"[('U.S.', 'LOCATION')]"
80,"@bayenciaga For leaving America. Go away. The only place they're ""tolerated"" anyway",set(),0,,"[('America', 'LOCATION')]"
81,A child born today won't know what it's like to live without a #lockdown unless they fight in the #AfghanistanWar,"{'AfghanistanWar', 'lockdown'}",0,,[]
82,"From a personal standpoint, it is a real sacrifice and an existential crisis to vote for someone who has killed civilians in Afghanistan and is so proud of it to name her book ""Shoot Like a Girl."" 
But what can one do!",set(),0,,"[('Afghanistan', 'LOCATION')]"
83,"@nef__saaid but using the crisis in Afghanistan, which was created by the US, as a sarcastic joke??? Is so messed up",set(),0,,"[('Afghanistan', 'LOCATION'), ('US', 'LOCATION')]"
84,"#Afghanistan's #Covid19 outbreak has pushed another 5 million people into food shortages:

WFP said the numbers deemed to be hit by “severe #foodinsecurity” had leapt from 12 million at the start of the year, to an estimated 17 million now.
https://t.co/NlwQUkzDL1","{'foodinsecurity', 'Afghanistan', 'Covid19'}",0,,"[('Afghanistan', 'LOCATION'), ('WFP', 'ORGANIZATION')]"
85,@Elohim_Gadol @realDonaldTrump He won’t kill people,set(),0,,[]
86,"There are now 80 million refugees in 2020 half of them children.
Photography Sebastian Rich/Magnum-Insights #afghanistan #refugeeswelcome #hope #NewYorkTimes #fujifilm https://t.co/VNT6Y7IYwA","{'afghanistan', 'hope', 'NewYorkTimes', 'fujifilm', 'refugeeswelcome'}",9,,[]
87,If you are anti-Iraq/Afghanistan war but support Joe Biden you are a hypocrite,set(),0,,"[('Joe', 'PERSON'), ('Biden', 'PERSON')]"
88,The 20th Year of the Afghanistan War Should Be America’s Last via ⁦@DefenseOne⁩  https://t.co/L3lQrrUwhZ,set(),0,,"[('America', 'LOCATION')]"
89,"Thinking #Afghanistan and #Hunger? 

Food shortages in Afghanistan as coronavirus worsens country's humanitarian crisis.
 https://t.co/HhNMOlkh4U","{'Afghanistan', 'Hunger'}",2,,"[('Afghanistan', 'LOCATION'), ('Afghanistan', 'LOCATION')]"
90,The 20th Year of the Afghanistan War Should Be America’s Last https://t.co/QaD2dsBupS @DefenseOneから,set(),0,,"[('America', 'LOCATION')]"
91,"“ #Venezuela is suffering the fourth-worst food crisis in the world, only behind war-torn countries like #Yemen, #Afghanistan, and the Democratic Republic of Congo” https://t.co/peEAzopnqr by @SabrinaMartinR","{'Venezuela', 'Afghanistan', 'Yemen'}",0,,"[('Venezuela', 'LOCATION'), ('Yemen', 'LOCATION'), ('Afghanistan', 'LOCATION'), ('Democratic', 'LOCATION'), ('Republic', 'LOCATION'), ('of', 'LOCATION'), ('Congo', 'LOCATION')]"
92,Afghan villagers fear militants’ return outside shadow of US forces https://t.co/gfD0x8Fsrv #World #Afghanistan #Conflict,"{'World', 'Afghanistan', 'Conflict'}",0,,"[('US', 'LOCATION'), ('Afghanistan', 'LOCATION')]"
93,Iraq and Afghanistan War Veterans for @JoeBiden and @KamalaHarris !! #VoteHimOut,{'VoteHimOut'},0,,"[('Iraq', 'LOCATION'), ('Afghanistan', 'LOCATION'), ('JoeBiden', 'PERSON')]"
